fold,group_type,train_len,val_len,train_perc,val_perc,train_active_perc,train_inactive_perc,val_active_perc,val_inactive_perc,test_active_perc,test_inactive_perc,num_leaking_uniprot,num_leaking_smiles,disabled_embeddings,val_loss,val_acc,val_f1_score,val_hp_metric,val_opt_score,val_precision,val_recall,val_roc_auc,test_loss,test_acc,test_f1_score,test_hp_metric,test_opt_score,test_precision,test_recall,test_roc_auc,hparam_hidden_dim,hparam_batch_size,hparam_learning_rate,hparam_dropout,hparam_join_embeddings,hparam_smote_k_neighbors,train_unique_groups,val_unique_groups
0,random,1297,325,0.7996300863131935,0.2003699136868064,0.5065535851966075,0.49344641480339246,0.5076923076923077,0.49230769230769234,0.5333333333333333,0.4666666666666667,60,154,,0.5388691425323486,0.7938461303710938,0.7615658640861511,0.7938461303710938,1.5554120540618896,0.9224137663841248,0.6484848260879517,0.9043182134628296,1.4059964418411255,0.5333333611488342,0.3636363744735718,0.5333333611488342,0.896969735622406,0.6666666865348816,0.25,0.6964285373687744,768,8,0.00021558222998245048,0.21814294183353802,sum,6,,
0,random,1297,325,0.7996300863131935,0.2003699136868064,0.5065535851966075,0.49344641480339246,0.5076923076923077,0.49230769230769234,0.5333333333333333,0.4666666666666667,60,154,disabled smiles,0.5201677680015564,0.7569230794906616,0.7989822030067444,0.7569230794906616,1.5559053421020508,0.6885964870452881,0.9515151381492615,0.8189961910247803,0.5820262432098389,0.800000011920929,0.8235294222831726,0.800000011920929,1.6235294342041016,0.7777777910232544,0.875,0.8214285373687744,768,8,0.00021558222998245048,0.21814294183353802,sum,6,,
0,random,1297,325,0.7996300863131935,0.2003699136868064,0.5065535851966075,0.49344641480339246,0.5076923076923077,0.49230769230769234,0.5333333333333333,0.4666666666666667,60,154,disabled poi,0.5401782393455505,0.744615375995636,0.7688022255897522,0.744615375995636,1.5134176015853882,0.7113401889801025,0.8363636136054993,0.8165719509124756,0.7062366604804993,0.6666666865348816,0.7368420958518982,0.6666666865348816,1.4035087823867798,0.6363636255264282,0.875,0.5357142686843872,768,8,0.00021558222998245048,0.21814294183353802,sum,6,,
0,random,1297,325,0.7996300863131935,0.2003699136868064,0.5065535851966075,0.49344641480339246,0.5076923076923077,0.49230769230769234,0.5333333333333333,0.4666666666666667,60,154,disabled e3,0.4816279411315918,0.7907692193984985,0.800000011920929,0.7907692193984985,1.5907692909240723,0.7771428823471069,0.8242424130439758,0.8487120866775513,0.7503681182861328,0.6000000238418579,0.5,0.6000000238418579,1.100000023841858,0.75,0.375,0.6785714626312256,768,8,0.00021558222998245048,0.21814294183353802,sum,6,,
0,random,1297,325,0.7996300863131935,0.2003699136868064,0.5065535851966075,0.49344641480339246,0.5076923076923077,0.49230769230769234,0.5333333333333333,0.4666666666666667,60,154,disabled cell,0.511199414730072,0.7538461685180664,0.7752808928489685,0.7538461685180664,1.5291271209716797,0.7225130796432495,0.8363636136054993,0.8272537589073181,0.7168314456939697,0.6000000238418579,0.5714285969734192,0.6000000238418579,1.1714286804199219,0.6666666865348816,0.5,0.6785714030265808,768,8,0.00021558222998245048,0.21814294183353802,sum,6,,
0,random,1297,325,0.7996300863131935,0.2003699136868064,0.5065535851966075,0.49344641480339246,0.5076923076923077,0.49230769230769234,0.5333333333333333,0.4666666666666667,60,154,disabled poi e3 smiles,0.6111315488815308,0.6830769181251526,0.6709265112876892,0.6830769181251526,1.3540034294128418,0.7094594836235046,0.6363636255264282,0.7258901596069336,0.6814109683036804,0.5333333611488342,0.5882353186607361,0.5333333611488342,1.1215686798095703,0.5555555820465088,0.625,0.6339285373687744,768,8,0.00021558222998245048,0.21814294183353802,sum,6,,
0,random,1297,325,0.7996300863131935,0.2003699136868064,0.5065535851966075,0.49344641480339246,0.5076923076923077,0.49230769230769234,0.5333333333333333,0.4666666666666667,60,154,disabled poi e3 cell,0.6126752495765686,0.6738461256027222,0.6267605423927307,0.6738461256027222,1.3006067276000977,0.7478991746902466,0.539393961429596,0.7498863935470581,0.7672330141067505,0.5333333611488342,0.5333333611488342,0.5333333611488342,1.0666667222976685,0.5714285969734192,0.5,0.5357142686843872,768,8,0.00021558222998245048,0.21814294183353802,sum,6,,
1,random,1297,325,0.7996300863131935,0.2003699136868064,0.5065535851966075,0.49344641480339246,0.5076923076923077,0.49230769230769234,0.5333333333333333,0.4666666666666667,61,169,,0.4814338684082031,0.7784615159034729,0.7647058963775635,0.7784615159034729,1.5431673526763916,0.8297872543334961,0.7090908885002136,0.8660417199134827,0.8850536346435547,0.5333333611488342,0.4615384638309479,0.5333333611488342,0.9948718547821045,0.6000000238418579,0.375,0.7678571343421936,768,8,4.363415269628358e-05,0.11144120117953832,concat,5,,
1,random,1297,325,0.7996300863131935,0.2003699136868064,0.5065535851966075,0.49344641480339246,0.5076923076923077,0.49230769230769234,0.5333333333333333,0.4666666666666667,61,169,disabled smiles,0.5342528820037842,0.7230769395828247,0.7738693356513977,0.7230769395828247,1.4969463348388672,0.6609442234039307,0.9333333373069763,0.7924052476882935,0.6322165131568909,0.6666666865348816,0.6666666865348816,0.6666666865348816,1.3333333730697632,0.7142857313156128,0.625,0.7678571343421936,768,8,4.363415269628358e-05,0.11144120117953832,concat,5,,
1,random,1297,325,0.7996300863131935,0.2003699136868064,0.5065535851966075,0.49344641480339246,0.5076923076923077,0.49230769230769234,0.5333333333333333,0.4666666666666667,61,169,disabled poi,0.5291935205459595,0.7353846430778503,0.7584269642829895,0.7353846430778503,1.4938116073608398,0.7068063020706177,0.8181818127632141,0.8182765245437622,0.6569517850875854,0.6666666865348816,0.7368420958518982,0.6666666865348816,1.4035087823867798,0.6363636255264282,0.875,0.6964285373687744,768,8,4.363415269628358e-05,0.11144120117953832,concat,5,,
